430150,430151,914
430149,430150,121
430148,430149,1281
430147,430148,26
430146,430147,312
430145,430146,430
430144,430145,555
430143,430144,1303
430142,430143,1247
430141,430142,1977
430140,430141,317
430139,430140,2234
430138,430139,275
430137,430138,674
430136,430137,2436
430135,430136,650
430134,430135,65
430133,430134,106
430132,430133,1403
430131,430132,476
430130,430131,619
430129,430130,315
430128,430129,624
430127,430128,955
430126,430127,207
430125,430126,483
430124,430125,473
430123,430124,442
430122,430123,958
430121,430122,863
430120,430121,892
430119,430120,1344
430118,430119,64
430117,430118,91
430116,430117,366
430115,430116,788
430114,430115,563
430113,430114,326
430112,430113,358
430111,430112,2104
430110,430111,1891
430109,430110,763
430108,430109,633
430107,430108,207
430106,430107,748
430105,430106,1439
430104,430105,979
430103,430104,519
430102,430103,15
430101,430102,89
430100,430101,1418
430099,430100,72
430098,430099,341
430097,430098,361
430096,430097,213
430095,430096,76
430094,430095,338
430093,430094,134
430092,430093,565
430091,430092,97
430090,430091,362
430089,430090,737
430088,430089,250
430087,430088,221
430086,430087,81
430085,430086,634
430084,430085,72
430083,430084,218
430082,430083,325
430081,430082,1116
430080,430081,35
430079,430080,174
430078,430079,415
430077,430078,191
430076,430077,157
430075,430076,282
430074,430075,413
430073,430074,201
430072,430073,324
430071,430072,386
430070,430071,1300
430069,430070,106
430068,430069,673
430067,430068,1421
430066,430067,913
430065,430066,164
430064,430065,2299
430063,430064,340
430062,430063,1325
430061,430062,98
430060,430061,122
430059,430060,698
430058,430059,998
430057,430058,879
430056,430057,560
430055,430056,78
430054,430055,168
430053,430054,457
430052,430053,1301
430051,430052,339
430050,430051,336
430049,430050,311
430048,430049,373
430047,430048,448
430046,430047,409
430045,430046,1394
430044,430045,982
430043,430044,705
430042,430043,2120
430041,430042,185
430040,430041,213
430039,430040,34
430038,430039,285
430037,430038,402
430036,430037,1336
430035,430036,384
430034,430035,1105
430033,430034,85
430032,430033,463
430031,430032,328
430030,430031,270
430029,430030,20
430028,430029,71
430027,430028,422
430026,430027,732
430025,430026,619
430024,430025,606
430023,430024,316
430022,430023,430
430021,430022,381
430020,430021,1425
430019,430020,401
430018,430019,254
430017,430018,2144
430016,430017,856
430015,430016,648
430014,430015,1747
430013,430014,1208
430012,430013,1474
430011,430012,413
430010,430011,156
430009,430010,710
430008,430009,1189
430007,430008,543
430006,430007,6
430005,430006,121
430004,430005,170
430003,430004,621
430002,430003,73
430001,430002,229
430000,430001,63
429999,430000,1075
429998,429999,88
429997,429998,2552
429996,429997,426
429995,429996,17
429994,429995,362
429993,429994,120
429992,429993,467
429991,429992,226
429990,429991,1085
429989,429990,2
429988,429989,693
429987,429988,202
429986,429987,125
429985,429986,639
429984,429985,235
429983,429984,81
429982,429983,111
429981,429982,243
429980,429981,50
429979,429980,140
429978,429979,107
429977,429978,1074
429976,429977,723
429975,429976,438
429974,429975,1052
429973,429974,246
429972,429973,1399
429971,429972,148
429970,429971,123
429969,429970,312
429968,429969,557
429967,429968,2019
429966,429967,159
429965,429966,335
429964,429965,289
429963,429964,382
429962,429963,829
429961,429962,373
429960,429961,1408
429959,429960,117
